Иванов Иван СПбГУ ФизФак Физика 1 18 107 СПб
Петров Петр СПбГУ МатМех Математика 2 19 207 СПб
Сидоров Сидр МГУ ХимФак Химия 3 20 307 Москва
Алексеев Алексей МГУ ФизФак Физика 4 21 407 Москва
Никитин Никита Политех МатМех Физика 5 22 507 СПб
Ильин Илья Политех ФизФак Физика 6 23 607 СПб
Николаев Николай СПбГУ ХимФак Физика 1 16 108 СПб
Наталина Наталья СПбГУ МатМех Математика 2 17 208 СПб
Аленина Алена Политех ФизФак Физика 3 18 308 СПб
Марьина Мария Политех ХимФак Химия 4 19 408 СПб
Маринина Марина МГУ МатМех Физика 5 20 508 Москва
Татьянина Татьяна МГУ ФизФак Физика 6 21 608 Москва
Константинов Константин СПбГУ МатМех Математика 1 16 107 СПб
Сергеев Сергей СПбГУ ХимФак Физика 2 17 207 СПбГУ
Елизаветина Елизавета СПбГУ МатМех Математика 3 18 307 СПб
